id;code_dep_code_com;no_voie;b_t_q;type_voie;voie;surface_carrez;surface_reelle;nb_pieces;type_local
15568;94 - 73;100;;AV;DE VERSAILLES;32,85;33;2;Appartement
15569;94 - 80;18;;RUE;FAIE FELIX;34,51;30;1;Appartement
15570;95 - 219;1;;RUE;DU PRESIDENT KENNEDY;83,5;48;3;Maison
15571;95 - 288;12;;RUE;DE MONTMORENCY;15,64;19;1;Appartement
15572;95 - 427;6;;RUE;DU CLOS DE PONTOISE;110;117;4;Maison
15573;95 - 574;1;;RUE;D ERMONT;19,4;20;1;Appartement
15574;01 - 390;15;;CHE;DU LAVOIR;32,27;32;2;Appartement
15575;01 - 390;1143;;RUE;CLAIRES FONTAINES;43,23;43;2;Appartement
15576;03 - 321;16;;IMP;DU PRE DE MOLLES;128,8;85;5;Maison
15577;06 - 4;15;;RUE;THURET;73,78;75;4;Appartement
15578;06 - 18;7;;RUE;DU PORTUGON;48,74;52;3;Maison
15579;06 - 83;39;;AV;DES ACACIAS;60,3;64;3;Appartement
15580;06 - 83;10;;RUE;DES SOEURS MUNET;32,84;33;2;Appartement
15581;06 - 83;4;;RUE;MASSENA;51,21;55;2;Appartement
15582;06 - 88;132;;AV;DE BRANCOLAR;110,6;118;4;Appartement
15583;06 - 88;18;;AV;GAY;71,85;65;3;Appartement
15584;06 - 88;61;;AV;SAINTE MARGUERITE;61,06;66;3;Appartement
15585;06 - 118;366;;RTE;DE DRAGUIGNAN;116,49;111;4;Appartement
15586;06 - 120;5676;;;LE PLATEAU D AURON;26,61;29;1;Appartement
15587;06 - 157;40;;AV;FOCH;54,8;54;2;Appartement
15588;07 - 102;48;;ALL;VICTOR LOUIS;46,22;47;3;Appartement
15589;07 - 324;113;;AV;DU HUIT MAI 1945;17,85;52;2;Appartement
15590;07 - 324;21;;ALL;DES RESIDENCES DE CHAPOTTE;63,6;63;3;Appartement
15591;07 - 330;5200;;;LES MAZES DE BEAUMEL;28,8;28;2;Maison
15592;11 - 170;39;;RES;LA BASTIDE;53,85;48;2;Maison
15593;11 - 170;587;;RUE;DE LA HUNE;25,71;29;2;Maison
15594;13 - 5;11;;RUE;MARCEAU;37,18;33;1;Appartement
15595;13 - 5;930;F;CHE;DU CHARREL;85,18;85;4;Maison
15596;13 - 22;9101;;RES;CASSIS LE VALLAT;81,84;69;3;Appartement
15597;13 - 22;9001;;RES;CASSIS BELLEVUE;48,04;49;2;Appartement
15598;13 - 28;6;;RUE;MARIUS LIEUTAUD;41,13;39;1;Appartement
15599;13 - 31;85;;CHE;DU LAOUVAS;82,97;82;4;Appartement
15600;13 - 201;28;;RUE;ADOLPHE THIERS;46,81;43;2;Appartement
15601;13 - 202;20;;RUE;DE LA CATHEDRALE;17,2;24;1;Appartement
15602;13 - 207;19;;RUE;PETIT CHANTIER;38,38;39;2;Appartement
15603;13 - 209;20;;PARC;DROMEL;69,25;73;4;Appartement
15604;13 - 209;121;;BD;PAUL CLAUDEL;53,66;56;3;Appartement
15605;13 - 212;89;;RUE;ST JEAN DU DESERT;66,09;64;3;Appartement
15606;13 - 212;17;;BD;HAGUENEAU;60,74;55;3;Appartement
15607;13 - 214;28;;RUE;ST GABRIEL;42,29;40;2;Appartement
15608;14 - 220;45;;RUE;JEAN MERMOZ;85,04;90;4;Appartement
15609;17 - 274;2;;RUE;JEAN DE LA FONTAINE;81,33;82;3;Appartement
15610;17 - 300;3;;RUE;DUNANT;35,64;37;2;Appartement
15611;18 - 33;54;;RUE;BARBES;53,95;54;2;Maison
15612;22 - 50;17;B;RUE;LECONTE DE L ISLE;60,05;61;3;Appartement
15613;25 - 157;22;;;AU FRAMBOURG;26,25;26;1;Appartement
15614;28 - 85;3;;RUE;DE LA RESIDENCE FLEURIE;60,31;61;3;Appartement
15615;2A - 4;9001;;RES;ECRINS RUBIS LE FINOSELLO;44,29;46;2;Appartement
15616;2A - 4;109;;CRS;NAPOLEON;68,96;72;3;Appartement
15617;2A - 4;9028;;PARC;BELVEDERE;67,55;83;3;Appartement
15618;2A - 4;6;;BD;FRED SCAMARONI;49,11;49;2;Appartement
15619;2A - 4;9001;;RES;DES ILES  LE SICILE;67,01;62;2;Appartement
15620;2A - 4;9001;;RES;DES ILES  LE MAJORQUE;82,24;86;4;Appartement
15621;30 - 62;6407;;RTE;D AIGUES VIVES;39,74;40;3;Appartement
15622;30 - 133;841;;RTE;DE CARNON;30,56;25;1;Appartement
15623;30 - 189;1;;ALL;RAOUL STEPHAN;53,85;53;2;Appartement
15624;30 - 189;10;;BD;ALPHONSE DAUDET;75,05;75;3;Appartement
15625;30 - 189;5;;RUE;CHARRIER;70,49;69;3;Appartement
15626;30 - 351;12;;RUE;DES POETES;91,79;92;4;Maison
15627;33 - 11;20;;IMP;DE MOUTCHALETTE;72,18;74;4;Maison
15628;33 - 63;1;;IMP;ELVINA SIVAN;25,95;24;1;Appartement
15629;33 - 63;17;;RUE;NEUVE;32,17;26;1;Appartement
15630;33 - 81;15;;RES;LE HAMEAU PIERRE FABRE;85,04;84;4;Maison
15631;33 - 199;43;;RUE;DU DOCTEUR BEZIAN;68,64;70;3;Appartement
15632;33 - 249;9001;;RES;LA BACHELLERIE;73,05;74;4;Appartement
15633;33 - 522;41;;RUE;DU GENERAL BORDAS;19,96;20;1;Appartement
15634;34 - 337;147;;RUE;DU CHAPITRE;43,9;45;2;Appartement
15635;35 - 238;97;;RUE;DE PARIS;45,55;45;2;Appartement
15636;35 - 334;1;;RUE;CAMILLE SAINT SAENS;51,06;51;2;Appartement
15637;38 - 151;44;;RUE;PAUL LANGEVIN;54,06;54;3;Appartement
15638;38 - 185;110;;AV;JULES VALLES;99,48;85;5;Maison
15639;38 - 384;9;;AV;DOCTEUR GUYONNET LOUIS;58,13;57;3;Appartement
15640;38 - 547;14;;IMP;DES ACCACIAS;71,3;60;3;Maison
15641;42 - 94;46;;BD;DE LA BOISSONNETTE;117,51;84;4;Maison
15642;42 - 147;8;;BD;DE LA MADELEINE;110,05;109;4;Appartement
15643;43 - 157;26;;RUE;DE VIENNE;59,87;88;5;Appartement
15644;44 - 55;1;;ALL;DE LA GUILLERAIE;48,15;49;2;Appartement
15645;44 - 69;29;B;FG;ST ARMEL;61,04;61;3;Appartement
15646;44 - 109;2;;PL;DE LA MONNAIE;98,29;103;4;Appartement
15647;44 - 109;114;B;RUE;DES RENARDIERES;28,68;28;1;Appartement
15648;44 - 135;32;;RUE;DU BOIS;36,71;38;1;Appartement
15649;45 - 30;7;;RUE;DU 28 NOVEMBRE;47,99;55;3;Appartement
15650;45 - 284;41;;AV;PIERRE MENDES FRANCE;66,75;67;3;Appartement
15651;45 - 286;4;;RUE;PIERRE HEUSLIN;18,95;19;1;Appartement
15652;47 - 157;42;;RUE;JEAN MERMOZ;81,1;80;4;Maison
15653;47 - 175;1559;;;MON DESIR;31,73;31;2;Appartement
15654;48 - 95;23;;RUE;DU PRE VIVAL;39,1;41;2;Appartement
15655;49 - 7;200;;AV;PASTEUR;58,91;59;3;Appartement
15656;49 - 7;88;;AV;GEN PATTON;60,81;60;3;Appartement
15657;49 - 92;6;;RUE;DES VARENNES;59,71;59;2;Appartement
15658;49 - 99;6;;RUE;D OUISTREHAM;239,64;180;4;Maison
15659;49 - 331;6;;RUE;GUSTAVE RICHARD;27,18;26;1;Appartement
15660;51 - 662;9;;RUE;DE LA FONTAINE ST GEORGES;82,2;85;4;Maison
15661;54 - 184;8;;RUE;DU CHANOINE LAURENT;79,4;80;5;Appartement
15662;54 - 234;16;;GR;GDE RUE;102,5;102;2;Appartement
15663;54 - 304;101;;BD;EMILE ZOLA;77,19;82;3;Appartement
15664;56 - 34;9;;AV;DE L ATLANTIQUE;29,31;34;2;Appartement
15665;56 - 186;20;;BD;DES EMIGRES;38,6;38;3;Appartement
15666;59 - 9;16;B;RUE;JEAN BAPTISTE BONTE;115,2;67;3;Appartement
15667;60 - 57;25;;RUE;LUCIEN LAINE;21,58;21;1;Appartement
15668;60 - 463;5;;RUE;DU DR ROUX;42,67;46;2;Appartement
15669;62 - 99;16;;RUE;ROBESPIERRE;48,35;48;2;Appartement
15670;64 - 102;6;;RUE;DES TONNELIERS;46,3;30;1;Appartement
15671;64 - 445;34;;AV;DU LOUP;74,31;71;3;Appartement
15672;66 - 212;3;;RUE;DES OLIVIERS;50,76;73;3;Maison
15673;69 - 6;27;;RUE;DU NORD;75,01;70;3;Appartement
15674;69 - 69;401;;RUE;DU 11 NOVEMBRE 1918;40,32;43;2;Appartement
15675;69 - 256;51;;AV;GEORGES ROUGE;63;63;3;Appartement
15676;69 - 266;52;;CRS;TOLSTOI;53,52;52;2;Appartement
15677;69 - 381;4;;RUE;PIZAY;70,65;80;3;Appartement
15678;69 - 382;67;;RUE;PDT EDOUARD HERRIOT;73,87;75;3;Appartement
15679;69 - 384;11;;RUE;DU CHARIOT D OR;44,56;40;2;Appartement
15680;69 - 389;18;;RUE;DE LA CLAIRE;63,24;64;3;Appartement
15681;69 - 389;16;;RUE;DE ST CYR;81,24;82;4;Appartement
15682;69 - 389;96;;RUE;DU BOURBONNAIS;63,82;64;3;Appartement
15683;73 - 296;5197;A;;IMM HOME CLUB;20,03;20;1;Appartement
15684;74 - 10;18;;RUE;DU BOIS GENTIL;46,46;45;2;Appartement
15685;74 - 56;169;;CHE;SOUS LA GRAND;30,89;35;2;Appartement
15686;75 - 103;14;;RUE;DE NORMANDIE;44,69;50;1;Appartement
15687;75 - 103;1;;RUE;DU FOIN;21,4;21;1;Appartement
15688;75 - 104;16;;RUE;STE CROIX BRETONNERIE;78,84;78;3;Appartement
15689;75 - 104;22;;RUE;DE RIVOLI;52,23;52;3;Appartement
15690;75 - 105;6;;BD;DE L HOPITAL;25,48;20;2;Appartement
15691;75 - 106;10;;RUE;SUGER;25,15;28;1;Appartement
15692;75 - 106;117;;RUE;NOTRE DAME DES CHAMPS;20,25;25;2;Appartement
15693;75 - 107;5;;RUE;AUGEREAU;21,72;20;1;Appartement
15694;75 - 107;11;;AV;DE SUFFREN;138,07;142;5;Appartement
15695;75 - 108;80;;RUE;DE MIROMESNIL;18,57;18;1;Appartement
15696;75 - 109;14;;RUE;SAULNIER;64,55;60;3;Appartement
15697;75 - 109;20;;RUE;DES MARTYRS;75,11;67;4;Appartement
15698;75 - 110;28;;RUE;BICHAT;71,91;72;4;Appartement
15699;75 - 115;13;;RUE;FRANCOIS VILLON;72,65;70;4;Appartement
15700;75 - 115;90;;RUE;CAMBRONNE;52,33;51;2;Appartement
15701;75 - 115;16;;RUE;EDMOND ROGER;44,55;41;2;Appartement
15702;75 - 115;4;;RUE;MARGUERITE BOUCICAUT;59,61;60;3;Appartement
15703;75 - 117;19;;RUE;DESCOMBES;21,37;19;1;Appartement
15704;75 - 117;67;;RUE;NOLLET;13,57;14;1;Appartement
15705;75 - 117;103;;RUE;LEMERCIER;33,89;33;2;Appartement
15706;75 - 118;21;;RUE;BOUCRY;53,06;43;2;Appartement
15707;75 - 120;58;;RUE;OLIVIER METRA;78,96;78;3;Appartement
15708;75 - 120;305;;RUE;DES PYRENEES;43,25;41;2;Appartement
15709;76 - 329;7;;RUE;DE BEAUCHENE;89,75;89;3;Appartement
15710;77 - 53;3;;RUE;ALBERT CAMUS;49,13;49;2;Appartement
15711;77 - 83;2;;ALL;DES CHARMILLES;83,46;84;4;Appartement
15712;77 - 108;2;;SQ;DES AULNES;76,98;80;4;Appartement
15713;77 - 122;66;;RUE;SOMMEVILLE;63,54;64;3;Appartement
15714;77 - 268;60;;RUE;DU MOULIN A VENT;35,52;36;2;Appartement
15715;77 - 337;2;;CRS;DU BUISSON;59,9;60;3;Appartement
15716;77 - 514;7;;CITE;LES CHATAIGNIERS;58,57;55;3;Appartement
15717;78 - 123;123;;RUE;DE LA REINE BLANCHE;62,59;62;3;Appartement
15718;78 - 124;36;;RUE;DU MOULIN;24,96;25;1;Appartement
15719;78 - 126;1;;ALL;D ANJOU;56,41;56;3;Appartement
15720;78 - 358;34;;RUE;DU PRIEURE;76,48;49;3;Appartement
15721;78 - 490;7;;AV;DE SAINT GERMAIN;44,28;46;2;Appartement
15722;78 - 498;1;;PASS;DE NOAILLES;68,86;69;3;Appartement
15723;78 - 502;1;;RUE;DE LA FONTAINE ST MARTIN;96,3;99;5;Appartement
15724;78 - 586;26;;PROM;MAXIME GORKI;69,75;70;4;Appartement
15725;78 - 621;8;;ALL;AIME CESAIRE;84,43;83;4;Appartement
15726;78 - 646;5;;RUE;CHAMP LAGARDE;111,2;115;5;Appartement
15727;78 - 650;47;;AV;DE LORRAINE;80,4;81;3;Appartement
15728;78 - 686;3;;RUE;CARNOT;15,33;17;1;Appartement
15729;78 - 688;81;;AV;DE LA GRANDE ILE;45,8;45;2;Appartement
15730;80 - 21;3;;RUE;CHATEAUBRIAND;83,92;84;4;Appartement
15731;82 - 37;10;;RUE;ERIK SATIE;47,35;47;2;Appartement
15732;83 - 19;67;;AV;DE LA MER;59,3;59;3;Appartement
15733;83 - 61;430;;AV;VICTOR HUGO;96,58;94;4;Appartement
15734;83 - 62;;;;L OLIVINE;30,98;32;2;Appartement
15735;83 - 69;29;;AV;AMBROISE THOMAS;25,01;27;1;Appartement
15736;83 - 70;1970;;AV;DU CAP NEGRE;28,78;28;2;Appartement
15737;83 - 70;9200;A;CHE;DES MARGUERITES;37,45;38;2;Appartement
15738;83 - 90;1;;RUE;HOCHE;19,77;19;2;Appartement
15739;83 - 118;71;;BD;JACQUES BAUDINO;70,3;70;3;Appartement
15740;83 - 144;293;;AV;DU DOCTEUR SCHWEITZER;54,36;58;3;Appartement
15741;85 - 18;6;B;RUE;DE LA FIGURE;109,85;104;4;Appartement
15742;85 - 234;9002;;AV;VALENTIN;56,16;56;3;Appartement
15743;91 - 200;2;;CHE;D OYSONVILLE;64,25;64;3;Appartement
15744;91 - 425;24;;RUE;DES BOURGUIGNONS;41,95;42;2;Appartement
15745;91 - 471;49;;RUE;DE LA CORNICHE;13;14;1;Appartement
15746;91 - 525;17;;RUE;DU PETIT CHATEAU;20;20;1;Appartement
15747;91 - 573;9;;RUE;VIVALDI;82,37;81;4;Appartement
15748;91 - 577;62;;;LES HAMEAUX DE SEINE;120,86;118;5;Maison
15749;92 - 4;6;;RUE;D ALSACE;52,33;51;2;Appartement
15750;92 - 19;18;;RUE;GUYNEMER;21,11;22;1;Appartement
15751;92 - 20;41;T;AV;DE LA DIVISION LECLERC;49,4;65;3;Appartement
15752;92 - 23;71;;RTE;DU PAVE BLANC;80,47;80;4;Appartement
15753;92 - 24;7;;AV;ANATOLE FRANCE;42,37;42;1;Appartement
15754;92 - 25;34;;AV;GENEVIEVE BAIN;53,84;50;2;Appartement
15755;92 - 36;25;;RUE;LEONIE CARON;23,38;23;2;Appartement
15756;92 - 40;12;;ALL;DES CITEAUX;36,94;32;2;Appartement
15757;92 - 44;23;;AV;ANDRE MALRAUX;73,31;70;3;Appartement
15758;92 - 46;13;;BD;DU COL FABIEN;19,86;20;1;Appartement
15759;92 - 50;6;;RUE;DE LA SOURCE;40,36;40;3;Appartement
15760;92 - 51;5;;RUE;RIGAUD;125,94;130;5;Appartement
15761;92 - 51;122;;RUE;PERRONET;40,78;40;1;Appartement
15762;92 - 60;2;;RUE;DE FONTENAY;18,77;22;1;Appartement
15763;92 - 63;6;;IMP;ST SULPICE;83,98;18;1;Appartement
15764;92 - 71;2;;RUE;DES COUDRAIS;18,04;23;1;Appartement
15765;93 - 48;132;;RUE;HOCHE;103,15;104;5;Appartement
15766;93 - 64;104;;RUE;DU GEN LECLERC;39,65;39;2;Appartement
15767;93 - 66;4;;RUE;DENFERT ROCHEREAU;74,02;80;3;Appartement
15768;93 - 70;16;E;VLA;DE L INDUSTRIE;96,8;100;5;Maison
15769;93 - 73;30;;RUE;LOUIS ESCHARD;49,56;49;2;Appartement
15770;93 - 77;14;;AV;OUTREBON;56,57;54;3;Appartement
15771;94 - 2;89;;RUE;VERON;31,08;31;2;Appartement
15772;94 - 16;58;;RUE;GABRIEL PERI;89,2;89;4;Appartement
15773;94 - 18;12;;VLA;ST PIERRE;56,52;63;3;Appartement
15774;94 - 33;86;;AV;DE STALINGRAD;62,09;63;3;Appartement
15775;94 - 41;140;;AV;JEAN JAURES;41,78;42;3;Appartement
15776;94 - 52;108;B;BD;DE STRASBOURG;86,55;86;6;Appartement
15777;94 - 68;11;;AV;DU BOIS GUIMIER;49,01;49;2;Appartement
15778;95 - 52;3;;RUE;LEON GODIN;23,05;22;1;Appartement
15779;95 - 52;1;;RUE;BASSE DE LA VALLEE;40,04;44;2;Appartement
15780;95 - 60;61;;GR;GRANDE RUE;44,93;49;2;Appartement
15781;95 - 127;42;;AV;DES GENOTTES;18,44;18;1;Appartement
15782;95 - 252;33;;CHS;JULES CESAR;56,73;56;3;Appartement
15783;95 - 426;13;;RUE;DE PARIS;29,3;52;3;Appartement
15784;95 - 428;94;;AV;CHARLES DE GAULLE;45,56;62;1;Appartement
15785;95 - 428;55;;AV;DE DOMONT;37;37;2;Appartement
15786;95 - 428;1;;AV;MAURICE BERTEAUX;69,23;71;3;Appartement
15787;01 - 71;120;B;CHE;DU MARTINET;67,94;67;3;Appartement
15788;04 - 70;5;B;AV;DES THERMES;21,35;23;1;Appartement
15789;06 - 88;54;;AV;DE LA BORNALA;20,18;20;1;Appartement
15790;06 - 130;640;;RTE;DEPARTEMENTALE 6085;42,6;44;3;Maison
15791;06 - 155;175;;RUE;PAUL DERIGON;36,93;37;1;Appartement
15792;08 - 409;18;;RUE;DES FAUSSES BRAIES;178,28;178;4;Appartement
15793;08 - 409;6;;RUE;THIERS;139,01;150;5;Appartement
15794;11 - 262;4;;BD;DOCTEUR FERROUL;76,2;76;3;Appartement
15795;11 - 266;387;;BD;ESCHASSERIAUX;35,53;35;2;Appartement
15796;14 - 338;10;;RUE;DU GD PRE;34,67;35;2;Appartement
15797;14 - 715;56;;RUE;G LE CONQUERANT;48,96;54;2;Appartement
15798;14 - 754;9006;;VC;RES SUPER DEAUVILLE;24,15;24;2;Appartement
15799;19 - 31;45;;RUE;LOUIS MIE;41,96;42;2;Appartement
15800;22 - 282;2;;ALL;DES PERRIERES DE BESNAULT;98,47;105;4;Appartement
15801;24 - 37;14;;RUE;CANDILLAC;105,96;90;3;Appartement
15802;28 - 85;18;;RUE;DES ECUYERS;37,79;40;2;Appartement
15803;28 - 134;25;;RUE;SAINT THIBAULT;66,52;80;3;Appartement
15804;33 - 39;10;;ALL;DE FRANCS;46,35;45;2;Appartement
15805;33 - 63;18;;RUE;DU PUITS DESCAZEAUX;40,82;50;1;Appartement
15806;33 - 96;24;;RUE;RACINE;22,36;22;1;Appartement
15807;33 - 96;24;;RUE;RACINE;19,53;22;1;Appartement
15808;33 - 214;1;;BD;DE LA PLAGE;29,77;31;2;Appartement
15809;33 - 214;9002;;RES;BLEU MARINE;24,85;24;2;Appartement
15810;33 - 236;59;;BD;DE LA PLAGE CAP FERRET;25,7;16;1;Appartement
15811;35 - 47;11;;PL;DU VERT BUISSON;64;64;3;Appartement
15812;38 - 547;7;;RUE;LOUIS JOUVET;52,37;45;3;Appartement
15813;42 - 147;18;;BD;DE LA MADELEINE;84,78;73;4;Appartement
15814;42 - 218;12;;RUE;BROSSARD;82,67;75;3;Appartement
15815;45 - 234;159;;RUE;GUSTAVE FLAUBERT;144,9;145;6;Maison
15816;45 - 285;8;;RUE;OLYMPE DE GOUGES;46;45;2;Appartement
15817;51 - 230;49;;RUE;DES HUGUENOTS;52,6;50;3;Appartement
15818;62 - 41;3;;RUE;DU BLOC;22,64;23;1;Appartement
15819;64 - 445;27;;AV;FOUCHET;75,64;76;3;Appartement
15820;69 - 389;27;;RUE;DE ST CYR;31,06;33;1;Appartement
15821;71 - 342;3;;BD;DU COLLEGE;109,72;109;4;Appartement
15822;75 - 103;31;B;BD;SAINT MARTIN;182,26;180;5;Appartement
15823;75 - 103;16;;RUE;DU PARC ROYAL;106,71;110;4;Appartement
15824;75 - 105;98;;RUE;MONGE;44,59;50;3;Appartement
15825;75 - 105;72;;RUE;GAY LUSSAC;22,68;22;1;Appartement
15826;75 - 107;17;;AV;DE LA BOURDONNAIS;129,34;127;5;Appartement
15827;75 - 109;1;B;RUE;BLEUE;82,56;75;4;Appartement
15828;75 - 109;26;;RUE;DE ROCHECHOUART;18,01;10;1;Appartement
15829;75 - 110;10;;RUE;MAZAGRAN;41,76;47;2;Appartement
15830;75 - 111;25;;RUE;SAINT MAUR;17,34;17;1;Appartement
15831;75 - 115;9;;RUE;FRANQUET;77,8;104;4;Appartement
15832;75 - 115;4;;RUE;MATHURIN REGNIER;35,59;35;2;Appartement
15833;75 - 115;4;;;VIL DU MONT TONNERRE;26,1;26;1;Appartement
15834;75 - 120;29;;RUE;D AVRON;28;30;2;Appartement
15835;77 - 83;6;;SQ;DES BOULEAUX;86,85;87;4;Appartement
15836;77 - 108;8;;RUE;RENE SALLE;30,1;31;1;Appartement
15837;77 - 284;58;;RUE;DU GENERAL LECLERC;26,66;35;1;Appartement
15838;77 - 470;2;B;BD;ISAAC PEREIRE;20,54;21;1;Appartement
15839;78 - 586;18;;RTE;DE CORMEILLES;50,26;52;3;Appartement
15840;78 - 640;17;;RUE;GRANGE DAME ROSE;71,14;70;3;Appartement
15841;78 - 640;7;;RUE;DES ECOLES;52,31;56;3;Appartement
15842;87 - 85;38;;RUE;VICTOR CHABOT;48,69;49;2;Appartement
15843;91 - 377;2;;RUE;DE MOSCOU;72,85;74;4;Appartement
15844;91 - 589;21;B;RUE;DES ROSSAYS;58,67;57;3;Appartement
15845;92 - 4;43;;RUE;GALLIENI;50,73;38;2;Appartement
15846;92 - 44;67;;RUE;CHAPTAL;8,72;10;1;Appartement
15847;92 - 51;128;;BD;MAURICE BARRES;116,92;126;4;Appartement
15848;92 - 63;14;;RUE;FRANCOIS JACOB;68,07;68;3;Appartement
15849;93 - 31;53;;BD;FOCH;81,02;82;5;Appartement
15850;93 - 32;81;;RUE;DU GAL LECLERC;29,75;25;2;Appartement
15851;93 - 33;2;;BD;DU BEL AIR;108,88;108;4;Appartement
15852;93 - 64;151;;RUE;DU GEN LECLERC;64,85;65;3;Appartement
15853;93 - 66;17;B;RUE;DEZOBRY;38,37;39;2;Appartement
15854;93 - 78;6;;AV;PABLO PICASSO;78,79;79;3;Appartement
15855;94 - 18;14;;RUE;DU PRESIDENT KENNEDY;40,39;40;2;Appartement
15856;94 - 19;2;;AV;MAURICE RAVEL;43,32;44;2;Appartement
15857;94 - 43;13;;RUE;GAMBETTA;21,05;22;2;Appartement
15858;94 - 46;28;;RUE;EUGENE RENAULT;65,11;65;3;Appartement
15859;95 - 176;19;;AV;DU GENERAL LECLERC;18,4;19;1;Appartement
15860;95 - 598;10;;RUE;DES ECOLES;109;109;5;Appartement
15861;95 - 607;139;;RUE;DE PARIS;32,39;33;1;Appartement
15862;95 - 607;1;;VLA;DU DAUPHINE;58,15;56;3;Appartement
15863;01 - 187;5208;;;LE BULOZ;35,3;35;3;Appartement
15864;01 - 199;9;;RUE;DE LA FLAUDIERE;65,29;74;3;Appartement
15865;06 - 4;1;;AV;DES FRERES OLIVIER;65,59;68;4;Appartement
15866;06 - 30;13;;AV;MONT JOLI;78,43;80;3;Appartement
15867;06 - 73;5501;;;CHASTILLON;46,02;49;2;Appartement
15868;06 - 104;129;;CHE;DES ORTAS;113,1;89;3;Maison
15869;11 - 262;242;;MAIS;DE LA PLAGE   (PLAGE);31,43;31;3;Appartement
15870;13 - 209;126;;RUE;AUGUSTIN AUBERT;91,06;92;4;Appartement
15871;14 - 699;5334;;RUE;DES NOVETS;36,97;37;2;Appartement
15872;16 - 166;1;;CHE;DES PRISES DE GIRAUD;62,89;63;3;Appartement
15873;17 - 300;22;;CRS;DES DAMES;59,36;61;3;Appartement
15874;30 - 189;186;;RUE;JACQUES BABY;57,5;58;3;Appartement
15875;30 - 202;3;;RUE;DU PUITS DE LA CALADE;86,25;108;3;Appartement
15876;33 - 9;8;;RUE;TAFFARD;50,21;48;2;Appartement
15877;33 - 498;125;;;CHATEAU DE SALLES;88,51;120;4;Maison
15878;35 - 238;60;;MAIL;FRANCOIS MITTERRAND;89,67;90;4;Appartement
15879;36 - 46;2;;PL;DU MARCHE;64,49;57;2;Appartement
15880;38 - 185;10;;ALL;HENRI FRENAY;103,83;108;3;Appartement
15881;38 - 185;57;;RUE;DU VERCORS;67,71;68;2;Appartement
15882;38 - 249;125;;ALL;DE LA DENT DE CROLLES;74,54;74;3;Appartement
15883;38 - 474;73;;RUE;DE LA REPUBLIQUE;38,14;50;2;Appartement
15884;38 - 567;623;;RTE;DE LA CROISETTE;29,92;35;1;Appartement
15885;42 - 187;30;;RUE;CUVIER;62,98;58;3;Appartement
15886;42 - 207;6;B;RUE;DE L ETERNITE;67,34;67;3;Appartement
15887;42 - 207;3;;RUE;DU RIVAGE;71,3;71;4;Appartement
15888;42 - 218;32;;RUE;DE LA REPUBLIQUE;133,68;120;4;Appartement
15889;42 - 218;47;;RUE;DESIRE CLAUDE;18,4;19;1;Appartement
15890;42 - 218;4;;RUE;GUY COLOMBET;42,72;40;2;Appartement
15891;44 - 109;33;;RUE;PARMENTIER;49,55;45;2;Appartement
15892;44 - 109;3;;RTE;DE ST SEBASTIEN;52,61;52;2;Appartement
15893;44 - 109;8;;RUE;BONNE LOUISE;16,72;19;1;Appartement
15894;44 - 109;36;;AV;DES PRELUDES;79,87;80;4;Maison
15895;53 - 130;10;;RUE;DE L AIGLON;78;78;4;Appartement
15896;56 - 263;5239;;RUE;DU PARC;102,33;79;3;Appartement
15897;59 - 328;115;;AV;DE LA LIBERTE;63,55;63;3;Appartement
15898;60 - 175;26;;RUE;JULES JUILLET;62,38;62;3;Appartement
15899;62 - 604;60;;BD;DE LA MER;31,65;31;1;Appartement
15900;66 - 171;9001;;RES;LES CYCLADES;40,65;45;2;Maison
15901;73 - 23;5326;E;RES;LES FLOCONS D'ARGENT;25,61;24;2;Appartement
15902;73 - 65;54;;FG;RECLUS;34,58;35;1;Appartement
15903;74 - 10;20;;AV;DE LA REPUBLIQUE;101,58;100;4;Appartement
15904;74 - 12;5;;RUE;DES ALPES;45,59;60;3;Appartement
15905;75 - 102;12;;RUE;DES PETITS CARREAUX;28,71;29;1;Appartement
15906;75 - 105;56;;RUE;HENRI BARBUSSE;71,2;70;4;Appartement
15907;75 - 106;28;;RUE;DU DRAGON;24,84;48;3;Appartement
15908;75 - 110;36;;PAS;DU DESIR;32,76;32;3;Appartement
15909;75 - 112;23;;RUE;LOUIS BRAILLE;52,12;50;3;Appartement
15910;75 - 113;40;;RUE;PASCAL;30;26;2;Appartement
15911;75 - 115;17;;RUE;JOBBE DUVAL;30,74;29;2;Appartement
15912;75 - 115;283;C;RUE;LECOURBE;85,78;86;3;Appartement
15913;75 - 117;62;;AV;DES TERNES;107;105;2;Appartement
15914;75 - 117;101;;RUE;DE PRONY;182,84;180;4;Appartement
15915;75 - 117;20;;RUE;DARCET;16,77;15;1;Appartement
15916;75 - 117;25;;AV;DE SAINT OUEN;73,31;68;4;Appartement
15917;75 - 118;7;;IMP;ROBERT;29,02;28;2;Appartement
15918;75 - 119;27;;RUE;CLAVEL;56,14;56;3;Appartement
15919;75 - 120;123;;BD;DAVOUT;26,01;26;1;Appartement
15920;76 - 351;32;;RUE;RENE BAHEUX;23,38;25;1;Appartement
15921;78 - 146;1;;RUE;DU CHEF ST JEAN;57,08;57;2;Appartement
15922;78 - 172;6;;ALL;DES AMETHYSTES;103;103;5;Maison
15923;78 - 361;6;;RUE;DE BELFORT;45,48;43;2;Appartement
15924;78 - 362;20;;RUE;DE DREUX;66,22;61;3;Appartement
15925;78 - 537;27;;RUE;BASSE;47,94;50;2;Appartement
